Table 1
Quantity (g),oz,Food Item,Protein,Carbs,Fat,Cals
100,3.53,Chicken Breast (raw),23g,0g,2.6g,120
100,3.53,Chicken Breast (cooked),31g,0g,3.6g,165
100,3.53,Turkey Breast (cooked),30g,0g,2.1g,147
100,3.53,Turkey Breast Mince (cooked),30g,0g,2.1g,147
100,3.53,Eye Fillet Steak (cooked),31g,0g,12g,250
100,3.53,Extra-Lean Beef Mince (cooked),28g,0g,6g,180
100,3.53,Sirloin Steak (cooked),29.8g,0g,8.5g,195
100,3.53,Ribeye Steak (cooked),23.7g,0g,21.8g,291
100,3.53,Flank Steak (cooked),27.7g,0g,8.2g,192
100,3.53,Skirt Steak (cooked),26.1g,0g,12.1g,220
100,3.53,Tenderloin/Filet Mignon (cooked),27.6g,0g,11.1g,218
100,3.53,Lamb Backstrap (cooked),30g,0g,8g,210
100,3.53,"Pork Loin (trimmed, cooked)",27g,0g,6g,190
100,3.53,Kangaroo (cooked),32g,0g,2g,140
100,3.53,Venison (cooked),30g,0g,3g,160
100,3.53,Bison (cooked),28g,0g,6g,190
100,3.53,Wild Boar (cooked),26g,0g,9g,220
100,3.53,Salmon (cooked),23.5g,0g,4.3g,139
100,3.53,"White Fish (Basa/Cod/Snapper, cooked)",20g,0g,1.5g,105
100,3.53,Barramundi (cooked),22g,0g,2g,115
100,3.53,Prawns/Shrimp (cooked),24g,1g,1g,112
165,5.82,"Tuna (John West, drained)",40g,0g,1g,180
30,1.06,Whey Protein Powder,24g,2g,1g,120
15,0.53,Nutritional Yeast,8g,4g,1g,60
30,1.06,Vegan Protein Powder,21g,2g,1.5g,110
100,3.53,White Rice (cooked),2.7g,28.7g,0.3g,129
100,3.53,Brown Rice (cooked),2.5g,23g,1g,132
100,3.53,White Potato (boiled),2.0g,17g,0.1g,87
100,3.53,Sweet Potato (cooked),1.6g,20.1g,0.1g,86
100,3.53,Rolled Oats (dry),13.4g,54.9g,8.6g,377
100,3.53,Quick Oats (dry),12.5g,68g,7g,379
100,3.53,Quinoa (cooked),4.0g,21.3g,1.9g,111
1 slice,1 slice,"Ezekiel Bread (per slice, ~32g)",4g,15g,1g,80
100,3.53,"Lentils & Beans (mixed, cooked)",9g,20g,0.4g,116
100,3.53,Rice Cakes (plain),7g,38g,0.4g,154
100,3.53,Tortillas / Wraps,7g,44g,5g,250
100,3.53,Extra Virgin Olive Oil,0g,0g,100g,884
100,3.53,Coconut Oil,0g,0g,100g,892
100,3.53,MCT Oil,0g,0g,100g,814
100,3.53,"Avocado (raw, flesh)",2g,9g,15g,160
100,3.53,Almonds,21g,22g,50g,579
100,3.53,Walnuts,15g,14g,65g,654
100,3.53,Pecans,9g,14g,72g,691
100,3.53,Macadamias,8g,14g,76g,718
100,3.53,Butter,0.5g,0g,81g,717
100,3.53,Almond Butter,21g,21g,50g,629
100,3.53,Ghee,0g,0g,99g,900
100,3.53,Zucchini (cooked),1.14g,2.69g,0.36g,15
100,3.53,Broccoli (cooked),2.4g,7.2g,0.4g,35
100,3.53,Broccolini (cooked),2.4g,7.2g,0.4g,35
100,3.53,Asparagus (cooked),2.4g,3.9g,0.2g,22
100,3.53,Green Beans (cooked),1.8g,7.1g,0.2g,35
100,3.53,Snow Peas (cooked),3.0g,7.6g,0.1g,42
100,3.53,Peas (cooked),5.4g,14.5g,0.4g,84
100,3.53,Cauliflower (cooked),2.0g,5.0g,0.3g,25
100,3.53,Pumpkin (cooked),1.0g,6.5g,0.1g,26
100,3.53,Parsnips (cooked),1.2g,17g,0.3g,75
100,3.53,Spinach (raw),2.9g,3.6g,0.4g,23
100,3.53,Cos Lettuce,1.4g,3.0g,0.2g,17
100,3.53,Rocket (Arugula),2.6g,3.7g,0.7g,25
100,3.53,Kale (raw),2.9g,4.4g,0.9g,49
100,3.53,Cucumber (raw),0.7g,3.6g,0.1g,16
100,3.53,Cherry Tomatoes (raw),0.9g,3.9g,0.2g,18
100,3.53,Carrot (raw),0.9g,10.0g,0.2g,41
100,3.53,Onion (raw),1.1g,9.3g,0.1g,40
100,3.53,"Bell Peppers (mixed, raw)",1.0g,6.0g,0.3g,31
100,3.53,Beetroot (raw),1.6g,9.6g,0.2g,43
100,3.53,Apple,0.26 g,13.8 g,0.17 g,52
100,3.53,Pear,0.28 g,9.13 g,0.10 g,57
100,3.53,Orange,0.94 g,11.9 g,0.30 g,49
100,3.53,Mandarin,0.81 g,13.3 g,0.31 g,53
100,3.53,Strawberries,0.80 g,5.99 g,0.10 g,28
100,3.53,Blueberries,0.74 g,14.49 g,0.33 g,57
100,3.53,Raspberries,1.30 g,4.70 g,0.30 g,25
100,3.53,Bananas,1.20 g,20.9 g,0.30 g,95
100,3.53,Mangoes,0.70 g,14.1 g,0.20 g,57
100,3.53,Pineapple,0.40 g,10.0 g,0.20 g,42
100,3.53,Kiwifruit,1.10 g,10.6 g,0.50 g,49
100,3.53,Peach,1.00 g,7.20 g,0.10 g,31
100,3.53,Watermelon,0.40 g,7.00 g,0.30 g,30
100,3.53,Rockmelon,0.80 g,8.20 g,0.20 g,34
100,3.53,Grapes,0.40 g,15.2 g,0.10 g,61
100,3.53,Chicken Tenderloin (raw),23.1g,0g,2.1g,119
100,3.53,Chicken Tenderloin (cooked),30.5g,0g,3.0g,160
100,3.53,Chicken Breast Mince (raw),17.4g,0g,8.1g,143
100,3.53,Chicken Breast Mince (cooked),25.0g,0g,11.0g,203
100,3.53,Top Sirloin Steak (cooked),30.7g,0g,7.1g,206
100,3.53,Lean Turkey Mince (raw),17.5g,0g,8.0g,148
100,3.53,Lean Turkey Mince (cooked),27.0g,0g,10.0g,203
100,3.53,Lean Beef Mince (cooked),26.0g,0g,11.0g,217
100,3.53,Venison Mince (cooked),28.0g,0g,4.0g,166
100,3.53,Bison Mince (cooked),25.0g,0g,8.0g,188
100,3.53,Kangaroo Mince (cooked),29.0g,0g,2.5g,142
100,3.53,Pork Tenderloin (cooked),26.2g,0g,3.5g,143
100,3.53,Lean Pork Mince (cooked),25.7g,0g,8.2g,190
100,3.53,Egg Whites,10.9g,0.7g,0.2g,52
100,3.53,Atlantic Salmon (raw),20.4g,0g,13.4g,208
100,3.53,Atlantic Salmon (cooked),25.4g,0g,13.1g,206
